order,pol,z_um,m_s,m_star,eta0,s_eta0,rho,s_rho,q_half,s_q_half,S_shape,s_S,w_entry,s_w,rms_single_scale,tstar_tau,lam_late,reachable
inverse,circular,0.001117,1.000306052881089e-05,5.184638825045698e-06,1.9820940627845522,0.00527451145455718,0.01790593721544753,0.00527451145455718,0.9100325450139547,0.017134652535438274,4.61241338036814,0.3033904996136793,0.005354967981307095,0.04607833007467612,0.00483560075205519,,1.36875917978035,True
inverse,circular,11.166582,0.09999999610199657,0.05183052334848384,1.9940816173797398,0.0026166181924852138,0.005918382620260276,0.0026166181924852138,0.8406079136048883,0.018487138687904556,4.48125360320826,0.18552862316358149,0.16012276124145267,0.07598918436967982,0.0073426612703714296,,1.1451749455386828,True
inverse,circular,27.916456,0.24999999921028287,0.1295763130127842,1.9922083692924588,0.005423116897631547,0.007791630707541142,0.005423116897631547,0.8192644309254158,0.010959901795966924,4.1711604086375225,0.22083386000577296,0.27155264939321455,0.03327269405282201,0.009438572430130836,,1.239831418932407,True
inverse,circular,55.832912,0.49999999842056575,0.2591526260255684,1.9920855818136693,0.0040084746181356205,0.00791441818633043,0.0040084746181356205,0.7650359101807263,0.011878640709527839,3.9697060854863944,0.14535565085999677,0.4279022102558661,0.028287681646272583,0.008467891453801897,,0.9119732487187304,True
inverse,circular,111.665824,0.9999999968411315,0.5183052520511368,1.993170645154469,0.00416056248782144,0.006829354845530933,0.00416056248782144,0.6964507163644283,0.015093380108974349,3.60794901400862,0.16077427360649998,0.6865825223564852,0.04301717716898664,0.019194795263444208,,0.9391500243566446,True
inverse,circular,223.331649,2.000000002637554,1.0366105087438482,1.9928335950290736,0.0029953252494511876,0.007166404970925999,0.002995325249451187,0.5905189215286144,0.0077548861536965346,3.4995572867708598,0.0841951093567802,0.9165336762615223,0.03278542408910335,0.011797907666614614,9.550001766590551,1.067235381812628,True
inverse,circular,334.997473,2.999999999478686,1.554915760794985,1.9945128683749225,0.0017606579870293052,0.00548713162507739,0.0017606579870293052,0.5386415637549898,0.003693601984614545,3.686185746625708,0.09775037105762924,1.0010952604512897,0.01861639349944917,0.00812502833168625,18.16925942642484,0.6349038376939362,True
inverse,circular,558.329122,5.00000000211624,2.591526269538833,1.9926141553370254,0.002283540070649023,0.00738584466297465,0.002283540070649023,0.5057722001049505,0.018561568218296087,3.828032846531142,0.09847204554893726,1.0713511962525355,0.05707938869136616,0.004606446280733863,17.626535622626857,0.32682535072541563,True
inverse,circular,781.66077,6.999999995798503,3.6281367736411063,1.9939849394348186,0.005139446743192546,0.006015060565181462,0.005139446743192546,0.516536472089212,0.01670759766551429,4.016334188032015,0.05807389008223537,0.9882232494281549,0.040249280251632456,0.0028883210776434486,,0.26078001171146725,True
inverse,circular,1116.658244,10.00000000423248,5.183052539077666,1.992024537523396,0.0025456951130983126,0.007975462476603834,0.0025456951130983126,0.5211117417770937,0.013582489356556381,4.018959704694617,0.07082001525290439,1.0321635589494131,0.06638094006103634,0.00627278415533947,,0.12042556401738769,False
